Blog	older	mention	showing	country	albums	service	page	include	point	real	mentioned	perfect	should	moment	round	wonder	pretty	piece	actually	others	eric	thinking	turned	asked	powerful	ocean	seems	radio	hasn	theme	grimes	maybe	mark	creating	audience	dr	missing	those	via	cannot	fi	law	laughing	hot	continue	mso	saturday	board	similar	fell	forget	history	winter	successful	pop	explore	dream	les	isn	picked	men	various	least	fine	including	nor	small	limited	pictures	incredible	alone	younger	knows	nearly	previous	aware	falls	roots	evening	deal	film	somewhat	within	comes	double	worked	wild	started	perhaps	hurt	bands	slightly	green	range	theater	america	falling	king	parts	coffee	kicking	co	shake	death	thanks	several	german	hop	youtube	count	confident	loving	internet	someone	anyone	goal	punk	fiction	points	sent	cool	nick	return	gun	become	welcome	stage	society	pt	cities	brothers	further	face	fall	throughout	using	recording	among	lord	changing	giant	soon	eye	himself	cancer	continues	together	order	star	hat	sin	full	mom	useful	tune	hold	talk	edition	though	third	hook	regret	nd	god	tengo	pay	september	silver	child	eventually	entire	cast	twice	strange	weird	midnight	richard	difficult	eating	lead	accept	call	pre	lose	dum	cry	ride	industry	possible	imagine	broken	opens	gave	l	wolf	decade	wind	understand	otherwise	since	simply	tonight	original	golden	waste	strong	result	final	neighborhood	able	working	concert	why	recent	known	ultimately	media	formed	sam	words	terms	relationships	haven	its	human	break	happened	questions	la	excellent	describe	likes	everywhere	please	official	proud	seemed	guy	source	vision	cat	town	drunk	orange	straight	hair	scream	festival	truly	tell	string	missed	require	sunday	bass	played	business	driving	moore	hopefully	fit	second	easy	sleep	lovely	notice	indie	plan	title	couple	tree	listening	close	rise	easily	father	john	slow	cut	critical	stupid	bar	knowing	yet	approach	watching	effect	news	worth	guys	impossible	club	feels	plus	picture	prince	worse	carry	entirely	believe	learning	twenty	forever	running	question	deep	los	natural	miss	received	involved	changes	character	hate	challenge	system	door	stuff	use	extra	u	week	finally	awesome	set	personal	feature	nyc	shot	latin	production	inside	form	feet	without	sky	yourself	brand	clear	steps	h	enough	direction	chorus	damn	kid	ears	based	appearance	keys	psychedelic	acts	help	politics	brother	c	royal	name	dead	light	hits	towards	david	sons	indeed	dreams	moments	q	summer	present	wire	learn	current	beyond	notes	looked	saying	half	promise	nice	february	complete	exciting	youth	ready	london	fully	yes	create	fun	list	bowie	language	finding	grace	bill	featuring	wedding	game	school	version	taste	thoughts	tv	becomes	phase	win	faith	lost	p	font	listen	moon	shows	rhythm	photos	needed	yellow	kiss	problem	collective	jeff	quiet	such	traditional	often	closing	bloody	doesn	warm	streets	video	thought	ask	nobody	making	both	dude	included	sometimes	cold	general	sings	dawn	class	usa	era	wine	realized	latest	trying	lake	leaving	ok	certain	candy	vocals	secret	events	culture	group	super	left	river	mortal	fantastic	weeks	voice	andrew	car	nine	pure	mac	physical	features	low	holiday	silent	legendary	tales	drive	remember	background	em	learned	epic	children	smart	start	calls	side	cover	whatever	sister	line	interest	coming	less	team	material	ascii
I Hate The 90s	0	0	0	0	8	0	1	1	1	0	1	0	1	0	0	1	2	1	1	0	0	0	1	0	0	1	0	4	0	0	0	1	3	1	0	0	0	3	2	0	2	0	0	0	0	0	0	1	0	0	1	0	1	0	21	1	2	0	1	0	0	0	1	1	6	0	2	0	1	0	0	0	1	2	1	0	0	1	0	6	4	1	4	1	1	4	1	2	1	0	8	0	3	1	0	1	2	2	0	1	0	1	1	0	2	5	0	1	0	0	0	1	0	0	0	0	3	1	1	0	0	1	3	1	0	3	2	0	0	0	2	0	0	3	2	0	6	3	0	2	0	5	1	0	1	2	1	0	3	0	0	10	0	0	0	1	0	2	1	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	1	0	0	0	2	0	2	0	1	1	1	0	1	5	0	2	1	0	1	1	0	1	0	0	1	0	0	1	1	1	0	11	2	0	1	0	0	15	0	3	0	0	0	3	0	1	0	0	1	1	0	1	0	1	1	0	1	1	1	0	0	0	2	1	2	0	0	1	8	4	1	0	2	0	1	4	0	1	0	0	15	0	1	1	0	1	0	0	1	1	4	1	6	2	2	2	0	2	1	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	1	3	0	0	0	0	0	0	12	1	1	0	5	0	0	0	0	0	2	1	1	0	2	0	0	3	0	0	0	0	0	0	1	0	0	4	0	0	0	3	3	0	1	10	0	1	0	0	0	0	6	0	2	1	0	0	3	0	1	1	0	1	0	0	0	1	0	0	0	3	0	0	0	2	0	0	0	2	0	1	0	1	0	3	2	3	0	2	4	1	0	0	0	0	0	2	4	1	0	0	1	1	0	0	1	0	4	0	2	1	2	3	0	0	0	0	1	0	0	0	0	0	1	2	5	0	3	3	0	0	0	1	0	0	0	0	0	0	0	2	1	2	0	0	6	2	0	0	20	0	5	0	0	0	0	3	1	1	3	0	0	0	2	0	0	1	3	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	4	0	3	0
Angie Dynamo	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
T H E V O I D S	0	0	0	0	1	0	1	1	1	7	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	15	0	0	0	7	12	0	1	1	0	0	0	0	0	2	0	71	0	1	10	0	0	0	0	1	2	0	0	0	3	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	2	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	20	0	0	1	0	0	13	5	0	0	0	1	0	0	6	0	0	0	2	3	4	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	1	0	1	0	0	0	0	29	0	4	0	0	2	0	1	0	14	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	16	1	0	0	0	1	3	0	2	0	0	1	5	0	0	0	0	1	0	2	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	2	0	0	3	0	0	0	18	0	0	0	1	0	2	0	2	0	10	10	4	0	0	0	0	1	0	2	1	0	0	0	0	1	0	0	0	4	0	0	0	0	2	0	1	0	0	5	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	2	0	5	14	0	1	0	1	0	0	0	0	0	0	5	1	0	0	0	0	1	0	0	0	1	36	1	0	2	0	1	6	6	0	0	0	0	0	4	0	1	0	0	2	0	0	82	2	0	0	1	6	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	1	1	0	0	2	0	0	1	0	0	10
60@60 Sounding Booth	0	0	0	7	20	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	3	1	1	0	0	1	0	1	1	0	2	2	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	1	0	0	0	0	0	0	5	1	0	2	0	0	1	1	0	2	0	0	1	2	2	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	2	0	0	1	2	0	0	2	1	1	1	0	1	5	0	0	0	4	0	1	2	0	0	0	0	4	0	2	1	0	0	0	2	3	1	8	1	0	0	0	0	0	0	1	0	0	0	0	1	0	3	4	0	0	0	0	0	0	1	1	4	1	1	0	0	0	0	0	1	0	1	2	3	1	0	0	0	2	0	0	0	1	5	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	2	2	1	0	0	0	0	0	0	0	0	3	1	1	0	0	4	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	2	1	0	0	7	0	0	0	0	0	0	1	0	1	9	1	1	0	0	0	0	3	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	1	0	4	0	0	2	2	0	0	0	0	3	0	0	0	1	0	2	0	0	5	0	0	0	7	0	0	0	0	0	0	0	0	0	1	1	1	1	0	3	0	0	1	0	1	1	0	0	0	2	0	0	1	0	0	3	2	1	3	6	1	1	7	0	0	8	0	0	1	0	2	1	0	0	2	0	0	2	0	0	0	0	0	0	4	2	0	1	0	3	0	5	0	0	1	0	0	0	0	1	1	0	0	0	0	3	0	1	2	1	0	0	5	0	2	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	2	0	0	0	1	0	0	0	1	1	1	0	2	0	0	0	2	1	0	0	0	0	0	0	1	2	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	3	0	1	2	1	1	0	0	2	0	0	0	0
Web Science and Digital Libraries Research Group	0	3	7	2	0	8	57	8	9	5	18	1	18	1	0	0	2	3	4	14	1	1	0	9	5	0	0	0	0	0	0	2	2	7	18	37	5	12	4	3	0	0	0	1	5	0	0	2	11	1	0	6	1	4	0	9	0	0	2	1	3	17	4	1	19	4	10	6	5	2	2	0	0	4	7	3	1	0	5	2	1	2	7	2	2	6	1	27	1	0	0	1	5	4	0	2	1	1	3	5	0	25	0	0	4	10	1	0	3	8	0	0	28	4	2	5	0	0	3	1	2	5	2	0	7	4	1	2	0	1	0	12	2	11	0	52	0	10	0	9	0	2	0	3	0	1	7	10	0	1	0	19	2	9	0	1	39	0	1	8	0	0	1	1	0	4	10	0	0	1	5	0	2	0	0	0	3	1	0	11	2	5	1	0	0	0	0	8	9	0	2	1	19	12	1	1	0	6	3	18	2	0	13	0	1	0	7	4	0	9	13	0	7	11	8	0	27	1	2	8	11	2	0	27	4	13	0	15	1	5	3	0	1	0	3	0	0	1	23	3	0	0	0	0	1	0	0	0	0	3	6	2	3	0	0	0	5	0	0	1	1	20	12	0	1	1	0	3	7	4	2	0	4	0	5	1	3	2	0	0	0	3	1	5	6	1	5	14	2	0	0	1	0	0	4	0	1	0	1	1	2	1	0	1	9	2	6	1	1	5	5	5	17	0	7	21	0	3	54	1	4	4	8	2	16	8	2	0	0	0	5	4	3	0	9	3	4	0	2	2	3	4	0	0	0	1	0	50	0	31	0	0	16	1	0	11	0	18	0	10	0	3	7	0	1	0	0	0	3	15	0	11	17	0	5	2	0	1	0	7	1	9	3	0	3	1	4	3	7	8	8	0	100	2	9	1	1	0	0	7	12	0	1	0	4	1	0	0	1	3	2	1	1	22	0	1	3	1	0	7	0	1	1	63	1	2	5	0	4	1	0	8	4	5	0	8	13	0	12	3	1	13	0	0	12	4	1	0	1	1	3	0	1	1	6	0	0	0	3	2	20	0	9	0	0	1	4	0	2	2	0	0	0	2	6	1	0	8	0	0	0	1	1	0	6	0	2	3	9	1	1	3	0	0	26	7	0	9	18	4	1
The Stearns Family	1	0	2	1	0	0	1	0	2	1	1	1	4	2	1	0	21	1	12	2	0	0	6	5	0	3	0	1	1	0	0	5	0	0	0	0	1	8	0	0	0	0	2	5	0	0	3	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	5	0	0	0	2	1	27	0	1	1	0	0	0	0	0	0	2	2	0	0	0	1	0	0	1	14	0	2	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	3	0	0	0	1	0	2	0	3	2	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	3	1	1	0	0	0	0	1	0	3	0	0	0	0	2	2	0	0	0	1	3	0	0	2	2	0	1	1	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	2	1	0	0	1	0	1	0	0	4	0	1	0	2	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	12	8	0	3	0	0	0	0	0	0	2	0	0	1	7	0	5	4	0	0	1	0	0	0	0	0	1	11	0	0	0	0	5	0	0	0	2	0	0	2	4	0	1	0	4	0	0	1	2	0	4	0	4	1	6	0	2	0	2	0	4	0	0	7	0	0	3	0	0	1	0	0	0	1	4	0	4	1	0	1	1	0	1	1	0	1	0	0	0	0	3	0	0	1	5	1	0	0	1	1	0	0	1	0	1	1	0	0	2	0	2	0	13	12	12	1	0	0	4	1	0	0	0	1	1	2	0	1	0	0	2	0	2	0	0	0	5	0	0	1	0	0	0	5	0	1	5	0	2	0	0	0	3	0	0	0	0	0	0	11	0	0	1	0	5	0	2	5	2	0	10	2	0	3	0	15	0	0	7	0	3	2	0	0	3	2	0	0	0	2	20	0	0	2	0	0	0	0	0	3	1	0	0	1	0	0	1	2	0	0	0	0	13	1	4	0	0	0	0	4	0	0	1	7	1	0	4	1	0	1	3	0	1	0	0	0	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	7	0	2	0	1	4	2	0	4	0	0	0	0
sweeping the kitchen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INDIEohren.!	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Becky Sharp Fashion Blog	0	1	0	0	0	0	0	0	0	2	0	4	1	4	0	1	1	0	3	0	0	2	1	1	0	0	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	1	3	1	0	0	1	1	2	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	2	0	1	0	1	0	2	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	3	1	0	0	2	0	0	0	0	1	2	0	1	0	5	2	0	0	0	1	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	3	3	0	1	0	0	0	0	0	0	0	0	7	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	2	1	1	1	0	2	0	2	3	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	5	0	1	0	3	1	0	0	1	0	0	0	0	2	1	2	1	1	1	0	0	0	0	2	0	0	1	0	2	0	7	0	6	1	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	2	1	0	1	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	0	1	0	1	0	0	0
THE BEAUTIFUL TRASH ART	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
this time tomorrow	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Green Eggs and Ham Mondays 8-10am	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	4	0	2	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0	3	0	14	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	4	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	7	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	2	0	0	0	1	0	3	0	1	0	0	2	0	0	0	5	0	0	3	4	0	1	0	0	0	0	0	0	3	1	0	0	2	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	5	0	0	0	2	4	0	0	2	0	0	0	1	1	0	1	0	0	1	0	1	2	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	4	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	5	4	0	0	1	0	0	2	0	0	1	0	0	0	0	0	1	1	0	4	0	0	2	0	0	2	0	0	0	1	0	1	2	0	0	0	2	0	0	1	2	2	1	0	1	0	0	0	0	0	1	0	6	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	7	0	1	1	0	0	1	0	0	3	1	4	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
